No;SGoF
1;0.040270324
2;0.558131438
3;0.200472517
4;0.015048219
5;0.530754918
6;0.631628916
7;0.330159931
8;0.653436543
9;0.429316856
10;0.673066379
11;0.145166043
12;0.60381107
13;0.597741127
14;0.270648619
15;0.314045353
16;0.13059503
17;0.704233595
18;0.055510665
19;0.344567895
20;0.33478486
21;0.062188738
22;0.097743156
23;0.120836814
24;0.148941184
25;0.133500416
26;0.955782541
27;0.353584408
28;0.811774545
29;0.21821247
30;8.97E-05
31;3.81E-06
32;0.593073391
33;0.066017921
34;0.297336781
35;0.44791758
36;0.24856768
37;0.264251486
38;0.394485876
39;0.661834323
40;0.019069972
41;0.159998264
42;0.034095847
43;0.018161954
44;0.474844704
45;0.051297522
46;0.01470304
47;0.039354092
48;0.107860994
49;0.564313889
50;0.077756832
51;0.00482312
52;0.769723851
53;0.016402709
54;0.701840564
55;0.634015815
56;0.08455345
57;0.004278247
58;0.416897446
59;0.383209354
60;0.105822507
61;0.42716042
62;0.758451224
63;0.909279201
64;0.868454321
65;0.31537376
66;0.104427359
67;0.002305273
68;0.197601185
69;0.578070967
70;0.019719141
71;0.02938336
72;0.740721846
73;0.272584139
74;0.045842644
75;0.258129313
76;0.008221351
77;0.154099293
78;0.86914099
79;0.001825998
80;0.002851608
81;0.087307306
82;0.394112158
83;0.155490083
84;0.131777811
85;0.410191455
86;0.337791437
87;0.372030638
88;0.959847614
89;0.233944118
90;0.809256905
91;0.722685536
92;0.445246318
93;0.057096949
94;0.010911564
95;0.110646451
96;0.094705816
97;0.113064602
98;0.430504828
99;0.535654876
100;0.036962539
101;0.0037458
102;0.791551435
103;0.000148447
104;0.117283478
105;0.58904295
106;0.121955677
107;0.040082425
108;0.491999588
109;0.558598009
110;0.434014368
111;0.389202738
112;0.158291077
113;0.339983487
114;0.148098236
115;0.144337993
116;0.210214641
117;0.759457111
118;0.524273007
119;0.291304858
120;0.047203993
121;0.928541255
122;0.835524976
123;0.795286604
124;0.001273985
125;0.528270887
126;0.019025644
127;0.422191945
128;0.130505184
129;0.444326928
130;0.051823308
131;0.201814956
132;0.36567477
133;0.411444723
134;0.870734224
135;0.454451693
136;0.264011988
137;0.981931946
138;0.38217367
139;0.076150774
140;0.815408892
141;0.387457083
142;0.112188489
143;0.823765896
144;0.353398818
145;0.002789428
146;0.065835466
147;0.227153199
148;0.012718696
149;0.200151902
150;0.494391133
151;0.485708527
152;0.380867568
153;0.035777355
154;0.874224396
155;0.102113647
156;0.002278806
157;0.863594136
158;0.230986524
159;0.466426641
160;0.606524829
161;0.075847099
162;0.723399383
163;0.601809942
164;0.818305484
165;0.154506473
166;0.004971488
167;0.318963096
168;0.010776125
169;0.980796152
170;0.327238237
171;0.268518378
172;0.592282237
173;0.286090226
174;0.044719135
175;0.266833065
176;0.055155194
177;0.015428129
178;0.007056397
179;0.192866125
180;0.762879962
181;0.130053342
182;0.203953847
183;0.119499207
184;0.392329751
185;0.551719599
186;0.735339039
187;0.016007902
188;0.037885351
189;0.245047738
190;0.81859384
191;0.397634721
192;0.575577226
193;0.137561854
194;0.488305266
195;0.003228033
196;0.043359487
197;0.484219985
198;0.665504779
199;0.076838674
200;0.277084514
201;0.426442876
202;0.163553798
203;0.008684697
204;0.831971206
205;0.337098144
206;0.587375141
207;0.02040419
208;0.873887119
209;0.000497281
210;0.131494509
211;0.267810284
212;0.012873955
213;0.001142258
214;0.003418611
215;0.214730538
216;0.015578908
217;0.793944397
218;0.13730956
219;0.587765423
220;0.834479209
221;0.068783423
222;0.000388611
223;0.468138729
224;0.093090772
225;0.164905435
226;0.158905621
227;0.067628762
228;0.09640981
229;0.000671819
230;0.081427822
231;0.134040844
232;0.692744971
233;1.85E-05
234;0.428551965
235;0.134694767
236;0.051598448
237;0.526637347
238;0.737627059
239;0.696226953
240;0.025876966
241;0.34529325
242;0.034934072
243;0.334393576
244;0.013173111
245;0.298555538
246;0.243086571
247;0.021727264
248;0.677432627
249;0.155532
250;0.006472638
251;0.013572965
252;0.886742616
253;0.79276733
254;0.396798078
255;0.507631016
256;0.835647685
257;0.832164683
258;0.762141026
259;0.016398956
260;0.056961261
261;0.512373648
262;0.369343651
263;0.103849831
264;0.253745031
265;0.07343539
266;0.344273063
267;0.026502439
268;0.000658243
269;0.865165891
270;0.375225734
271;0.625012187
272;0.530771144
273;0.275305024
274;0.175605857
275;0.036822242
276;0.795910428
277;0.171290231
278;0.000537826
279;0.0436699
280;0.090076758
281;0.137349199
282;0.929679139
283;6.36E-05
284;0.868442263
285;0.132536338
286;0.879074984
287;0.059455796
288;0.682317072
289;0.077850857
290;0.404525849
291;0.374141774
292;0.101079123
293;0.400364289
294;0.436672636
295;0.071164329
296;0.30342102
297;0.103899119
298;0.832544632
299;0.134657846
300;0.798687133
301;0.102418909
302;0.552073044
303;0.353914873
304;0.018237726
305;0.081756384
306;0.751576603
307;0.104856413
308;0.559472009
309;0.705375115
310;0.473160192
311;0.39205501
312;0.002604412
313;0.042865605
314;0.001569911
315;0.036653855
316;0.073382633
317;0.000167913
318;0.070955338
319;0.194983592
320;0.528113436
321;0.002408839
322;0.332690307
323;0.311446772
324;0.027069127
325;0.278156162
326;0.437860113
327;0.323340254
328;0.261056427
329;0.75702045
330;0.207500432
331;0.673942448
332;0.293840633
333;0.010164621
334;0.005484774
335;0.026995611
336;0.091553289
337;0.562475054
338;0.512292342
339;0.086763208
340;0.496221083
341;0.768313448
342;0.222614236
343;0.002235726
344;0.007351011
345;0.007919515
346;0.070956585
347;0.156531135
348;0.093636564
349;0.770412424
350;0.051819717
351;0.734431101
352;0.265845905
353;0.033245475
354;0.202430165
355;0.000303599
356;0.062337252
357;0.610352468
358;0.108615125
359;0.019069573
360;0.073505765
361;0.676819593
362;0.364527902
363;0.065048489
364;0.814486527
365;0.204951078
366;0.83679968
367;0.00036669
368;0.691757776
369;0.010927806
370;0.692255767
371;0.995075557
372;0.131182021
373;0.261500053
374;0.43536789
375;0.07039723
376;0.602073134
377;0.126080002
378;0.491279476
379;0.186050596
380;0.131622722
381;0.048295103
382;0.020616635
383;0.353854325
384;0.414740009
385;0.091187351
386;0.714261477
387;0.054688241
